City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,flin flon,54.7682,-101.865,28.24,86,100,5.75,CA,1677886222
76,kodiak,57.79,-152.4072,24.31,36,0,39.12,US,1677887063
77,ko samui,9.5357,99.9357,75.11,100,20,0.0,TH,1677887064
78,guerrero negro,27.9769,-114.0611,59.41,60,57,18.01,MX,1677887065
79,pokhara,28.2333,83.9833,60.91,32,0,6.22,NP,1677887066
80,jodhpur,26.2867,73.03,70.5,37,2,12.19,IN,1677887054
81,antsohihy,-14.8796,47.9875,74.41,96,100,2.08,MG,1677886494
82,saint-lo,49.1162,-1.0903,39.63,73,80,7.45,FR,1677887070
83,kameshkovo,56.3481,41.0047,25.14,97,99,6.51,RU,1677887071
84,mehamn,71.0357,27.8492,33.75,64,75,18.41,NO,1677887073
85,barranca,-10.75,-77.7667,73.83,77,59,8.16,PE,1677887074
86,jawhar,2.7809,45.5005,74.52,77,21,15.35,SO,1677886841
87,staraya russa,57.9944,31.3608,28.35,96,100,8.39,RU,1677887076
88,saint-georges,12.0564,-61.7485,77.49,73,30,16.06,GD,1677887077
89,curup,-3.4667,102.5333,66.18,96,100,0.85,ID,1677887078
90,nanortalik,60.1432,-45.2371,41.65,75,30,27.85,GL,1677887079
91,klaksvik,62.2266,-6.589,36.52,67,90,5.14,FO,1677887081
92,vardo,70.3705,31.1107,31.98,80,75,12.66,NO,1677887082
93,rio grande,-32.035,-52.0986,73.51,91,100,11.48,BR,1677887084
94,wucheng,29.6008,118.175,51.67,70,2,1.9,CN,1677887085
95,santa rosa,14.3122,121.1114,78.03,72,34,10.27,PH,1677886850
96,tura,25.5198,90.2201,64.83,40,0,2.3,IN,1677887087
97,pozo colorado,-23.4923,-58.7972,77.7,84,75,5.35,PY,1677887088
98,port elizabeth,-33.918,25.5701,74.1,91,0,6.91,ZA,1677887089
99,katsuura,35.1333,140.3,52.02,60,77,8.66,JP,1677887090
100,vanimo,-2.6741,141.3028,77.09,85,100,5.48,PG,1677887092
101,longyearbyen,78.2186,15.6401,4.84,61,75,12.66,SJ,1677887093
102,vilyuysk,63.7553,121.6247,11.71,97,100,3.91,RU,1677887094
103,yamada,39.4667,141.95,43.45,58,47,5.53,JP,1677887095
104,kijang,35.2442,129.2139,38.93,40,100,5.44,KR,1677887096
105,itaituba,-4.2761,-55.9836,75.15,99,52,2.3,BR,1677887098
106,port hardy,50.6996,-127.4199,39.38,87,75,13.8,CA,1677887100
107,biak,-0.9131,122.8766,77.74,76,100,2.28,ID,1677887101
108,san ignacio,17.1561,-89.0714,96.94,38,0,0.0,BZ,1677887102
109,ormara,25.2088,64.6357,73.47,59,0,4.76,PK,1677887103
110,kambove,-10.8764,26.5969,62.01,98,100,2.55,CD,1677887104
111,picota,-6.9197,-76.3304,88.29,85,82,1.86,PE,1677887106
112,general roca,-39.0333,-67.5833,87.62,13,13,21.12,AR,1677887107
113,the valley,18.217,-63.0578,78.1,73,20,6.91,AI,1677887109
114,nikolskoye,59.7035,30.7861,26.49,97,93,5.64,RU,1677887110
115,hualmay,-11.0964,-77.6139,74.14,80,74,10.58,PE,1677887111
116,oksfjord,70.2396,22.3479,28.58,80,98,1.52,NO,1677887112
117,rio gallegos,-51.6226,-69.2181,50.05,37,20,32.21,AR,1677887113
118,alghero,40.5589,8.3181,39.29,100,7,2.3,IT,1677887056
119,asau,46.4333,26.4,34.72,94,91,2.24,RO,1677887115
120,key west,24.5557,-81.7826,80.6,76,0,13.8,US,1677886978
121,mapiripan,2.8892,-72.1256,80.01,74,92,4.47,CO,1677887117
122,pitimbu,-7.4706,-34.8086,81.19,75,90,12.06,BR,1677887118
123,nizwa,22.9333,57.5333,68.09,49,5,1.32,OM,1677887119
124,fortuna,40.5982,-124.1573,49.66,66,0,8.05,US,1677887121
125,hobyo,5.3505,48.5268,78.67,70,35,18.37,SO,1677887122
126,namatanai,-3.6667,152.4333,77.81,88,100,10.16,PG,1677887123
127,ipixuna,-1.7625,-48.8043,74.46,98,100,4.94,BR,1677887124
128,mumford,5.2618,-0.759,80.51,86,57,5.28,GH,1677887125
129,san policarpo,12.1791,125.5072,78.84,79,82,11.18,PH,1677887126
130,pindi gheb,33.2402,72.2661,60.24,59,82,2.08,PK,1677887127
131,moose factory,51.2585,-80.6094,32.0,51,75,9.22,CA,1677887128
132,torbay,47.6666,-52.7314,25.75,76,20,12.66,CA,1677887129
133,jibuti,11.5,42.5,70.34,82,90,15.68,DJ,1677887130
134,jennings,38.7192,-90.2604,43.38,82,100,13.8,US,1677887131
135,dedovichi,57.5517,29.9502,27.75,96,100,10.56,RU,1677887133
136,san patricio,28.017,-97.5169,77.72,30,0,3.4,US,1677887134
137,dosso,13.049,3.1937,81.39,13,0,8.01,NE,1677887135
138,oxelosund,58.6706,17.1015,35.98,44,0,19.57,SE,1677887137
139,puerto ayora,-0.7393,-90.3518,84.16,84,89,3.0,EC,1677887139
140,neftcala,39.3742,49.2472,46.47,88,100,7.81,AZ,1677887140
141,naze,28.3667,129.4833,58.12,60,100,6.04,JP,1677887141
142,paamiut,61.994,-49.6678,37.35,74,92,8.52,GL,1677887142
143,erenhot,43.6475,111.9767,30.54,35,0,0.65,CN,1677887143
144,townsville,-19.25,146.8,74.28,94,75,8.05,AU,1677887144
145,lavrentiya,65.5833,-171.0,-13.99,98,78,4.16,RU,1677887145
146,bubaque,11.2833,-15.8333,78.12,64,2,16.46,GW,1677887146
147,mana,5.6592,-53.7767,76.77,87,76,12.17,GF,1677887147
148,lewisporte,49.2499,-55.0482,22.71,76,34,11.72,CA,1677887148
149,glenwood springs,39.5505,-107.3248,36.41,85,100,13.8,US,1677887131
150,aykhal,66.0,111.5,6.6,94,98,13.94,RU,1677887150
151,beloha,-25.1667,45.05,70.5,95,100,7.16,MG,1677887151
